ID,String
31200,Rubber
31201,Bioplasma
31202,Plastics
31203,Electronic Components
31204,CPU
31205,Glass
31206,Carbon Fiber
31207,Professional Electronics
31208,High Performance Conductor
31209,Conductor
31210,Plastic Syntactic Foam
31211,Titanium Syntactic Foam
31212,Textiles
31213,Carcinus Forelimbs
31214,Carcinus Cranium
31215,Carcinus Dorsal Carapace
31216,Behemoth Forelimbs
31217,Behemoth Cranium
31218,Behemoth Tail
31219,Sturdy Carapace
31220,Piercing Oculi
31221,Pulsating Cerebrum
31222,Serrated Claws
31223,Mantis Cranium
31224,Mantis Metathorax
31225,Mantis Mesothorax
31226,Sticky Xenomorphic Fluid
31227,Solid Carbonite Shell
31228,Xenomorph Proteins
31229,Ultra Resilient Mineral
31230,Deuterium Water
31231,Xenomorph Hemolymph
31232,Bloody Xenomorph Slime
31233,Xenomorph Endocrine Glands
31234,Plutonium
31235,Aluminium Alloy
31236,Ceramic
31237,Artificial Logic Device
31238,Battery Cell
