ID,String
30350,Leech Torso Armor
30351,Justicar Powered Torso Armor
30352,PreMet Tremor Torso Armor
30353,Aramid Altered Torso Armor
30354,Infensus Essentials Torso Armor
30355,Jack-o'-lantern Torso Armor
30356,Skeleton Torso Armor
30357,Backer Torso Armor
30360,Advanced Civilian Leg Pads
30361,MT-27 Ballistics Leg Pads
30362,Tactical Systems Leg Pads
30363,Locans Defense Leg Pads
30364,Locans Ethereal Leg Pads
30365,Locans Patrol Leg Pads
30366,Locans Pressured Leg Pads
30367,Pythica Special Operations Leg Pads
30368,Pythica Mobile Infantry Leg Pads
30369,Pythica S1 Leg Pads
30370,Pythica Sustained Battle Leg Pads
30371,NanoTech Trauma Leg Pads
30372,NanoTech Scout Leg Pads
30373,NanoTech Voltaic Leg Pads
30374,NanoTech Cognizant Leg Pads
30375,Hypobaric Leg Pads
30376,Metabolic Leg Pads
30377,Venom Leg Pads
30378,Detox Combat Leg Pads
30379,Delta Powered Leg Pads
30380,Havoc Powered Leg Pads
30381,Firstborn Powered Leg Pads
30382,Legionnaire Powered Leg Pads
30383,PreMet Buffer Leg Pads
30384,PreMet Contact Leg Pads
30385,PreMet Collision Leg Pads
30386,PreMet Impact Leg Pads
30387,Dilatant 46b Leg Pads
30388,Aramid Modified Leg Pads
30389,Dilatant 50b Assault Leg Pads
30390,Aramid Basic Leg Pads
30391,Infensus Minimalist Leg Pads
30392,Infensus Shock Leg Pads
30393,Infensus X1 Assault Leg Pads
30394,Infensus Heavy Leg Pads
30395,XenoTech Expeditionary Leg Pads
30396,Exile Leg Pads
30397,Locans Stabilized Leg Pads
30398,Pythica Durable Battle Leg Pads
30399,NanoTech Vitality Leg Pads
