ID,String
31100,Exile Trousers (Male)
31101,Black Shuck Trousers (Male)
31102,Echion Trousers (Male)
31103,Midnight Black Trousers (Male)
31104,Shadow's Trousers (Male)
31105,Black Slacks (Male)
31106,Blue Slacks (Male)
31107,Brown Slacks (Male)
31108,Grey Slacks (Male)
31109,Pink Slacks (Male)
31110,White Slacks (Male)
31120,Casual Miniskirt (Female)
31121,Woven Design Miniskirt (Female)
31122,Plaid Skirt (Female)
31123,Dark Boot Cut Jeans (Female)
31124,Necarian Adventure Trousers (Female)
31125,Slim Work Pants (Female)
31126,Teal Slim Pants (Female)
31127,Stunning Bell Bottom Pants (Female)
31128,Hip Hugging Jeans (Female)
31129,Faded Beauty Jeans (Female)
31130,Traveling Pants (Female)
31131,Grey Relaxed Pants (Female)
31132,Slim Fit Jeans (Female)
31133,White Washed Jeans (Female)
31134,Fitted Pants (Female)
31135,Executive Trousers (Female)
31136,Faded Beauty Hip Huggers (Female)
31137,Flare Jeans (Female)
31138,Santa Trousers (Female)
31139,GIS Trousers (Female)
31140,Exile Trousers (Female)
31141,Black Shuck Trousers (Female)
31142,Echion Trousers (Female)
31143,Dark Abyss Skirt (Female)
31144,Nurse Skirt (Female)
31145,Shadow's Trousers (Female)
31146,Blue Businesswoman's Trousers (Female)
31147,Blue Businesswoman's Skirt (Female)
31148,Black Businesswoman's Trousers (Female)
31149,Black Businesswoman's Skirt (Female)
