ID,String
31800,Character Designer
31801,Name Change Contract
31802,Faction Ownership Contract
31803,Faction Name Change Contract
31804,Elementum
31805,Dice
31806,Skill Timer
31807,Skill Respec
31808,Coin Voucher
31809,Skill Book
31820,Brown Businessman's Jacket (Male)
31821,Grey Businessman's Jacket (Male)
31822,Pink Businessman's Jacket (Male)
31823,White Businessman's Jacket (Male)
31824,Peace T-Shirt (Male)
31825,Street Gang Jacket (Male)
31826,Investigators Trenchcoat (Male)
31827,American Enterprises Trench (Male)
31828,Horse Comic's T-Shirt (Male)
31829,Robe of Multi-Religions (Male)
31830,Club Trench (Male)
31831,Lab Coat (Male)
31832,Backer T-Shirt (Male)
