ID,String
30900,Patrolman Trousers (Female)
30901,Blue Defender Trousers (Female)
30902,Defense Trousers (Female)
30903,Assault Trousers (Female)
30904,Protester Trousers (Female)
30905,Light Defender Trousers (Female)
30906,Shadow Trousers (Female)
30907,Assassin Trousers (Female)
30908,Assault Trousers (Female)
30909,Miner Trousers (Female)
30910,Production Trousers (Female)
30911,Gold Defense Trousers (Female)
30912,Miner Trousers (Female)
30913,Gray Defense Trousers (Female)
30914,Technician Trousers (Female)
30915,Neon Defense Trousers (Female)
30916,Blue Protector Trousers (Female)
30917,Veteran Trousers (Female)
30918,Phoenix Trousers (Female)
30919,Anarchy Trousers (Female)
30920,Assassin Trousers (Female)
30921,Brown Colonist Trousers (Female)
30922,Gray Colonist Trousers (Female)
30923,Neon Colonist Trousers (Female)
30924,Civilian Faded Beauty Hip Huggers (Female)
30940,Blue Warden Trousers (Female)
30941,Green Soldier Trousers (Female)
30942,Dealer Trousers (Female)
30943,Rebel Trousers (Female)
30944,Defender Trousers (Female)
30945,Brown Assault Trousers (Female)
30946,Gray Assault Trousers (Female)
30947,Gray Traveler Trousers (Female)
30948,Neon Assault Trousers (Female)
30949,Blue Dominion Trousers (Female)
