ID,String
13300,Text
13301,"<font type='2' size='11' space='1' color='BFC7FF00'>%1!s!</font> has awarded you <font color='FFFFFF00'>%2!u! UC</font>!

Reason:
 <font color='BFC7FF00'>%3!s!</font>"
13302,Your rank has been changed to <font color='FFFFFF00'>%1!s!</font> by <font type='2' size='11' space='1' color='BFC7FF00'>%2!s!</font>
13303,You have been removed from your faction by <font type='2' size='11' space='1' color='BFC7FF00'>%1!s!</font>!
13304,You have been been added to the faction: <font type='2' size='11' space='1' color='BFC7FF00'>%1!s!</font>!
13305,You have been blacklisted from <font type='2' size='11' space='1' color='BFC7FF00'>%1!s!</font> by <font type='2' size='11' space='1' color='BFC7FF00'>%2!s!</font>!
13306,<font type='2' size='11' space='1' color='BFC7FF00'>%1!s!</font> has transfered you <font color='FFFFFF00'>%2!u! UC</font> from <font type='2' size='11' space='1' color='BFC7FF00'>%3!s!</font>'s capital!
13307,"Your storage rental on <font type='2' size='11' space='1' color='BFC7FF00'>%1!s!</font> has been renewed. <font color='FFFFFF00'>%2!u! UC</font> has automatically been deducted from your account. If you would like to prevent this from happening in the future, reduce the rental slots on the world to 0."
13308,"Your storage rental on <font type='2' size='11' space='1' color='BFC7FF00'>%1!s!</font> has failed to renew. <font color='FFFFFF00'>%2!u! UC</font> is needed to maintain your current storage value. Your storage value on the world has been set to 0, and your items will be moved to transport storage if the value is not increased."
13309,"Your storage items on <font type='2' size='11' space='1' color='BFC7FF00'>%1!s!</font> have been moved to transport storage. <font color='FFFFFF00'>%2!u! items</font> are now flagged for deletion, and must be moved off the world, placed into rented storage, or removed to inventory."
13310,"You have made a sale at <font type='2' size='11' space='1' color='BFC7FF00'>%1!s!</font>.
<font color='FFFFFF00'>%2!s!</font> has bought the following items from you:

Item: %3!s!
Number of Items: <font color='FFFFFF00'>%4!u!</font>
Item Price: <font color='FFFFFF00'>%5!u!</font>
Taxes : <font color='FFFFFF00'>%6!d!</font>
_____________________________________ 
Your Income: <font color='FFFFFF00'>%7!u!</font>
"
13311,You have received <font type='2' size='11' space='1' color='BFC7FF00'>%1!u! %2!s!</font> for your participation in the mission <font type='2' size='11' space='1' color='BFC7FF00'>'%3!s!'</font>
