ID,String
31050,Aerodynamic Deluxe Shirt (Female)
31051,Bejiffy Exquisite Shirt (Female)
31052,PermaLast Primary Jacket (Female)
31053,PermaLast Luxury Jacket (Female)
31054,Airlight Jacket (Female)
31055,Aurelian Designer Trenchcoat (Female)
31056,Freedom Nationalist Trenchcoat (Female)
31057,TermoSecure Trenchcoat (Female)
31058,Santa Coat (Female)
31059,GIS Overcoat (Female)
31060,Exile Overcoat (Female)
31061,Staff Shirt Casual (Female)
31062,Jack-o'-lantern Shirt (Female)
31063,Flaming Skull Shirt (Female)
31064,Black Shuck Jacket (Female)
31065,Echion Jacket (Female)
31066,Stylized Black Blouse (Female)
31067,Alternate Universal Blouse (Female)
31068,Gun Metal Jacket (Female)
31069,Hellstorm Trenchcoat (Female)
31070,Nurse Blouse (Female)
31071,Gingerbread Shirt (Female)
31072,Cyber Black (Female)
31073,Shadow's Shirt (Female)
31074,Blue Businesswoman's Jacket (Female)
31075,Black Businesswoman's Jacket (Female)
31076,Brown Businesswoman's Jacket (Female)
31077,Grey Businesswoman's Jacket (Female)
31078,Pink Businesswoman's Jacket (Female)
31079,Purple Businesswoman's Jacket (Female)
31080,PermaLast T5-Enhanced Trousers (Male)
31081,PermaLast All-Terrain Trousers (Male)
31082,Thick Anti Freeze Trousers (Male)
31083,Keplers Luxurious Trousers (Male)
31084,Prosperous Civilian Trousers (Male)
31085,Commoners Trousers (Male)
31086,Deviates Trousers (Male)
31087,Ultra Secure Trousers (Male)
31088,Infinite Multi-Purpose Trousers (Male)
31089,Sierra 17 Trousers (Male)
31090,Civilian Old War Issued Trousers (Male)
31091,NYC Urban Trousers (Male)
31092,Khaki Trousers (Male)
31093,Green Linen Pants (Male)
31094,MUD Trousers(Male)
31095,L.L. Cargo Pants (Male)
31096,A.K.A. Trousers (Male)
31097,Relaxed Trousers (Male)
31098,Santa Trousers (Male)
31099,GIS Trousers (Male)
