ID,String
19100,"The production of armor is one of the most important aspects of arming others, and heavy armor gives additional protection"
19101,TODO
19102,TODO
19103,TODO
19104,TODO
19105,"Medical supplies are some of the most important aspects, and those who can produce them are key."
19106,"Medical supplies are some of the most important aspects, and those who can produce them are key."
19107,Those who can produce mechanical augmentations will be able to arm those around them with some hyper-advanced technology.
19108,Those who can produce nanomachine augmentations will be able to arm those around them with some hyper-advanced technology.
19109,"Through hijacking the Universal Positioning System, clones are able to find each other anywhere, at any time."
19110,Those who can produce deployables will be able to arm others with the ultimate tools of territorial dominance.
19111,The creation of advanced hacking tools will ensure an unstoppable force.
19112,The creation of advanced hacking tools will ensure an unstoppable force.
19113,"To capture territory for a faction, one has to learn the skill necessary to utilize territorial deployables."
19114,This skill gives you the knowledge necessary to deploy and arm explosives.
19115,TODO (Class IV weapon)
19116,TODO (Class V weapon)
