ID,String
40610,"A light top, often used during basic exercise training."
40611,Used by soldiers when working out to increase stamina.
40612,Worn by members to show their allegiance when not active in their goals.
40613,A dark top used to help those not adept at hiding blend into the shadows.
40614,Worn by members of the brotherhood when they wish people to know them from normal civillians.
40615,A top used by those members on their first job.
40616,Often used by those members looking for employment.
40617,"A casual top in gold colours, often worn by employees when off from work."
40618,"A casual top in Eurocore colours, often worn by employees when not working."
40619,"A casual top in Vortex Inc. colours, often worn by employees when not working."
40620,"Waterproof and yet light enough to allow breathing space, this top can be used on any colony."
40621,Stylish t-shirt often worn by off-duty soldiers.
40622,A stylish top using natural colours.
40623,Worn as a symbol showing membership to a cell.
40624,"In the colors of the corporations, this top is often used for casual occasions."
40625,Worn by members to promote their corporation and contract opportunities.
40626,A top designed to celebrate the achievements of mankind.
40627,Show how anti establishment you are by wearing XXY corporation's latest shirt
40628,This shirt isn't affiliated with the Space Golf League.
40629,Working 9 till 5? Your probably wearing this then.
40630,Basic Uniform for those new to their respective force.
40631,Performance jacket with highly reflective strips and modern design.
40632,The jacket is treated with a special carbonite mesh making them ideal for searching colonies or apprehending a suspect.
40633,The jacket is suited to all weather and terrain. It has become a long-time favourite among the Dominion troops.
40634,"This design has been used in the field for over 40 years, noticeable due to its distinctive pattern."
40635,"The original design is credited to the Asian Collation however, the Dominion has recently updated and refined the uniform to suit 25th century combat."
40636,"For the one who needs to look at his best, the sleek design will give you a look of sophistication."
40637,Nothing says universal protest better than wearing this jacket.
40638,Who says one should only wear full body robes? This jacket will make you stand out from the crowd.
40639,Nothing says 'Professional Killer' better than this jacket.
40640,Nothing says 'Ruthless Professional' better than this jacket.
40641,A rugged jacket for a rugged hard working employee.
40642,Who says you can’t be a worker and not look stylish?
40643,"From the mines of DMC, one Jacket to rule them all."
40644,Boardrooms will never look so good with you wearing this in them.
40645,Study has shown the wearers of this jacket have 350% more profit margins than the rest.
40646,"Black like space, a favourite design of company employees."
40647,This design is inspired by the blackness of space that Vortex Inc. strives to dominate.
40648,Various agencies issue these jackets to their patrol officers.
40649,Various agencies issue these jackets to their patrol officers.
