ID,String
20600,Increases damage by %1!u!%%.
20601,Increases output by %1!u!%%.
20602,Increases damage by %1!u!%%.
20603,Increases damage by %1!u!%%.
20604,Increases damage by %1!u!%%.
20605,Increases damage by %1!u!%%.
20606,Increases damage by %1!u!%%.
20607,Increases output by %1!u!%%.
20608,Ability to scan class %1!u! minerals.
20609,none
20610,none
20611,none
20612,none
20613,none
20614,none
20615,none
20616,none
20617,none
20618,none
20619,none
20620,none
20621,none
20622,none
20623,none
20624,none
20625,none
20626,none
20627,none
20628,none
20629,none
20630,none
20631,none
20632,none
20633,none
20634,Ability to produce ballistic handguns %1!u!%% faster.
20635,Ability to produce ballistic rifles %1!u!%% faster.
20636,Ability to produce knives %1!u!%% faster.
20637,Ability to produce sub-machine guns %1!u!%% faster.
20638,Ability to produce ballistic long-rifles %1!u!%% faster.
20639,Ability to produce grenades %1!u!%% faster.
20640,Ability to produce energy pistols %1!u!%% faster.
20641,Ability to produce tazers %1!u!%% faster.
20642,Ability to produce energy rifles %1!u!%% faster.
20643,Ability to produce medical weapons %1!u!%% faster.
20644,Ability to produce alien weapons %1!u!%% faster.
20645,Ability to produce energy longrifles %1!u!%% faster.
20646,Ability to produce standard armor %1!u!%% faster.
20647,Ability to produce light ballistic armor %1!u!%% faster.
20648,Ability to produce light energy armor %1!u!%% faster.
20649,Ability to produce heavy ballistic armor %1!u!%% faster.
