ID,String
42160,The pants of a fine businesswoman.
42161,The skirt of a fine businesswoman.
42162,The pants of a fine businesswoman.
42163,The skirt of a fine businesswoman.
42164,The pants of a fine businesswoman.
42165,The skirt of a fine businesswoman.
42166,The pants of a fine businesswoman.
42167,The skirt of a fine businesswoman.
42168,Women who use their charisma to gain an advantage will be seen wearing these shorts.
42169,Looking dark and mysterious is a useful tool to gain information through intimidation.
42170,The skirt of a girl who can't stop dancing.
42171,"A reward for backing our Kickstarter campaign, this skirt will make your dedication to the game clear."
42172,"The shoes made popular by the agents of the Galactic Intelligence Service. Despite being purpose-made for the GIS, it has been released for purchase by the average citizen in limited supply in order due to popular demand."
