ID,String
200,Decline
201,Complete
202,Submit without Position
203,Next Tip
204,Previous Tip
205,Found Mission
206,Skip Tutorial
207,Leave Mission
208,Join Mission
209,Join
210,Start Mission
211,Mission Log
212,Update Member
213,Back
214,Add Event
215,Faction
216,Group & Department
217,Leadership
218,Members
219,Perform Conversion
220,All Warrants
221,New Warrant
222,Search Warrants
223,Warrant List
224,Transfer Current Colony
225,Leave Petition
226,Form Department
227,Disband Petition
228,Search
229,View Blacklist
230,Current
231,Starting
232,Public Missions
233,Apartments
234,Public Apartments
245,Enter
246,Add %1!u! Hours
247,Reset Hints
248,Continue All Alien Attacks
249,Force Center
