ID,String
14200,Arc de Triomphe
14201,Site de Production
14202,Eurocore HQ
14203,Marche
14204,Hospital Sainte Michelle
14205,Station de Circulation
14206,Centre de Communication
14207,Hotel Chez l'Arc
14208,Le Duplex
14209,Rue La Fayette
14210,Tunnel d'Anjou
14211,Exercise Hall
14212,Deck 4
14213,Vortex Link
14214,Weapons Range
14215,Canteen
14216,Security
14217,Brigg
14218,Briefing Rooms
14219,Data Processing
14220,Bridge
14221,Command Center
14222,Plasma Coil
14223,Engineering
14224,Deck 3
14225,Security Checkpoint
14226,Hangar 2
14227,Cargo Bay
14228,Infirmary
14229,Ship Propulsion
14230,Deck 2
14231,Cargo Transit
14232,Deck 1
14233,Sky Plateaus
14234,Andromeda Space Terminal
14235,Yutani Market
14236,Starlight Cafeteria
14237,Security Counter
14238,Hillview Terrace
14239,Roberts Medical Centre
14240,Andromeda Warehouse
14241,Messier Residences
14242,Hershel Triage Centre
14243,Yutani Industries
14244,Power Tubes
14245,Gravitron Passway
14246,Overhead Line
14247,Deuterium Depot
14248,Plasma Forge
14249,Laboratory Supplies
