ID,String
22500,[Prop] Snowman
22501,[Prop] Solar Cell
22502,[Prop] Trash Bag
22503,[Prop] Trash Can
22504,[Prop] XMAS Tree
22505,[Prop] Pumpkin 1
22506,[Prop] Pumpkin 2
22507,[Prop] Pumpkin 3
22508,[Prop] Pumpkin 4
22509,[Alien] Black Shuck
22510,[Alien] Echion
22511,[Alien] Arachnoid Hunter
22512,[Alien] Tiger Teraphosa
22513,[Alien] Stalker
22514,[Alien] Naevus
22515,[Alien] Royal Carcinus
22516,[Alien] Scythed Carcinus
22517,[Alien] Behemoth
22518,[Alien] Schizomidian Assassin
22519,[Alien] Shadower
22520,[Prop] Mutated Alien Egg
22521,[Prop] Stoned Alien Egg
22532,Backer
22533,Bronze Backer
22534,Silver Backer
22535,Gold Backer
22536,Producer
22537,Executive Producer
22541,Invalid
22542,Inventory
22543,Storage
22544,Transport Storage
22545,Market
22546,Production
22547,Safe
22548,Backpack
22549,Mining Rig
