ID,String
14050,Chemical Plant
14051,Lewi's Bar
14052,Abandoned Sewers
14053,Inner Storage
14054,Mohave's Cave
14055,Carbon Pit
14056,Mohave's Hall
14057,Landing Platform
14058,Green Glance
14059,Crossroads
14060,C.M.G Quarters
14061,Living
14062,Dr. Kurosawa Hospital
14063,Keikyu Connection
14064,Keikyu Vortex Hub
14065,Hikawa Plaza
14066,Kenzo Square Production
14067,Fujoshi Park
14068,Imperial Hotel
14069,Club 69
14070,Cozy Corner Apartments
14071,West Vortex Hub
14072,Kamata Lane
14073,Shimouma Plaza
14074,Omorimachi Garden
14075,Omorimachi Storage
14076,Myioshi Apartments
14077,Old Market
14078,F.D.C. Headquarters
14079,Vortex Connection
14080,Emperor Lane
14081,Tsukiji Garden
14082,Hotel Chuoku Restaurant
14083,Public Hospital
14084,Akatsuki Lane
14085,Akatsuki Park
14086,Jumper's Pond
14087,Stock Exchange
14088,Tokiwa Road
14089,Namiyoke Plaza
14090,Hotel Chuoku Lobby
14091,Namiyoke Vortex Station
14092,Vortex Inc. HQ
14093,Airspace Harbor
14094,Industrial District
14095,Ions Industries
14096,Plasma Reservoir
14097,Oshashi Bar
14098,Access 75
14099,Seaview Market
