ID,String
40650,"Designed with the Protester in mind, this jacket is available for your basic protesting needs."
40651,The Shadow Wrap was designed with the shadowy figure in mind.
40652,Everyone needs a little style.
40653,Companies issue these jackets to their brave defense forces.
40654,Companies issue these jackets to their brave defense forces.
40655,Military looking jacket in a ocean blue.
40656,The peak of human condition meets the peak of sportswear design
40657,A very stylish black jacket.
40658,Every gentleman of leisure cannot be seen without this.
40670,The Patrolman Trenchcoat was designed to provide the wearer with comfort and utility.
40671,This Trenchcoat was the favorite of the common fighter before becoming standard issue.
40672,The Anarchy Trenchcoat has been a favorite of anarchists and troublemakers.
40673,This trenchcoat style has been a favorite during riots and uprisings.
40674,This trenchcoat has often been the final sight of an unfortunate target in their final moments.
40675,This trenchcoat has gained popularity among miners in recent years. 
40676,Company’s production specialists often choose this trenchcoat for its utility.
40677,Company’s explorers sometimes use this trenchcoat while on the hunt for new worlds.
40678,This trenchcoat has been a favorite among technicians for years.
40679,This trenchcoat was created in honor of all officers who have given the ultimate sacrifice in defense of mankind.
40680,The FDC have long been known as the Hammer of the Dominion and this trenchcoat reflects their many victories.
40681,This coat reflects the mission of peace.
40682,"The wanderers hide in the shadows, and this coat ensures that they are not seen."
40683,This trenchcoat has pockets for all of a person’s necessary supplies.
40684,The preferred coat of many of the early colonizers.
40685,This is the preferred coat for those who work in the cold and rainy environments.
40686,"In a throwback to the classic look trenchcoats of the 20th century, Enfield appeals to all."
40690,This robe is sure to remind everyone of the power of the Phoenix.
40691,"The life of a Guardian is not easy, and this robe is sure to remind everyone of the Guardians efforts."
40692,"In the busy life of a person, there is no room for much relaxation, however this robe is sure to be a luxury that brings relaxation to any one that wears it."
40693,"Be afraid of anyone who wears this, one does not know what could be hidden beneath."
40694,Used for protection when going deep into mines.
40695,Used by many to wrap themselves in those cold environments.
