ID,String
14100,Old Harbor Front
14101,Harbor Storage
14102,Power Supply
14103,Myo Vortex Access
14104,Oedo Plaza
14105,Oedo Pass
14106,Resurrection Hall
14107,Cloudy Heights
14108,Moe's Pub
14109,Downtown
14110,Central Storage
14111,Senator's Cafe
14112,Public Entrance
14113,Senate Hall
14114,Ambassador Suites
14115,Checkpoint
14116,Senatorial Break Room
14117,Ranger's View
14118,Dominion Access
14119,Dominion Registration
14120,Dominion Health Service
14121,Dominion Storage
14122,Eastern Pass
14123,Maputo's Hall
14124,Silly Walk
14125,Sky Trade Center
14126,Sky Corridor
14127,Jordan's Passage
14128,General Hospital
14129,Main Vortex Access
14130,Central Shopping
14131,Apartments
14132,Public Entrance
14133,Miner's Rest
14134,Sealed Gate
14135,Yard Watch
14136,Industrial Area
14137,Prison Yard
14138,East Access
14139,L.E.D. Security
14140,Prison Entrance
14141,Prison Exit
14142,Abandoned Mine Entrance
14143,Upper Caves
14144,Deep Mines
14145,Western Mines
14146,Great Hall
14147,Treatmill
14148,Bishop's Chapel
14149,Rat's Nest
